relative_path,type,pages,word_count,primary_chapter,text_path
Adam Lane Smith/20 Steps Avoidant Falls in Love - Adam Lane Smith.docx,docx,,9249,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Adam_Lane_Smith_20_Steps_Avoidant_Falls_in_Love_-_Adam_Lane_Smith.docx.txt
Adam Lane Smith/Become Securely Attached in 12 Steps - Adam Lane Smith - Transcript.pdf,pdf,3,1218,Fundamentos del apego adulto,/Users/pedro/AAQ/output/original_sources/extracted_text/Adam_Lane_Smith_Become_Securely_Attached_in_12_Steps_-_Adam_Lane_Smith_-_Transcript.pdf.txt
Adam Lane Smith/Disorganized Attachment - Adam Lane Smith.docx,docx,,5988,Tesis editorial y arquitectura del manual definitivo,/Users/pedro/AAQ/output/original_sources/extracted_text/Adam_Lane_Smith_Disorganized_Attachment_-_Adam_Lane_Smith.docx.txt
Adam Lane Smith/Falling Out of Love - Adam Lane Smith.docx,docx,,8806,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Adam_Lane_Smith_Falling_Out_of_Love_-_Adam_Lane_Smith.docx.txt
Adam Lane Smith/Why Therapy Isnt Fixing Attachment - Adam Lane Smith.docx,docx,,9882,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/Adam_Lane_Smith_Why_Therapy_Isnt_Fixing_Attachment_-_Adam_Lane_Smith.docx.txt
Balancing Compassion and Boundaries - Transcript.pdf,pdf,2,723,"Comunicacion, limites, compasion y necesidades",/Users/pedro/AAQ/output/original_sources/extracted_text/Balancing_Compassion_and_Boundaries_-_Transcript.pdf.txt
Becoming an Emotionally Intelligent Masculine Leader - Connor Beaton - Transcript.pdf,pdf,3,1047,"Mecanismos emocionales, corporales y de regulacion",/Users/pedro/AAQ/output/original_sources/extracted_text/Becoming_an_Emotionally_Intelligent_Masculine_Leader_-_Connor_Beaton_-_Transcript.pdf.txt
"Books/Amir_Levine,_Rachel_Heller-Attached__The_New_Science_of_Adult_Attachment_and_How_It_Can_Help_You_Find_–_and_Keep_–_Love__-Penguin_Group_USA_(2010)[1].pdf",pdf,268,63933,Fundamentos del apego adulto,/Users/pedro/AAQ/output/original_sources/extracted_text/Books_Amir_Levine__Rachel_Heller-Attached__The_New_Science_of_Adult_Attachment_and_How_It_Can_Help_You_Find___and_Keep___Love__-Penguin_Group_USA__2010_1_.pdf.txt
Books/Secure Love Introducciontio .pdf,pdf,33,15178,"Comunicacion, limites, compasion y necesidades",/Users/pedro/AAQ/output/original_sources/extracted_text/Books_Secure_Love_Introducciontio_.pdf.txt
HOW TO STOP SETTLING FOR POTENTIAL - Transcript.pdf,pdf,1,303,"Discernimiento, dating y eleccion de pareja",/Users/pedro/AAQ/output/original_sources/extracted_text/HOW_TO_STOP_SETTLING_FOR_POTENTIAL_-_Transcript.pdf.txt
